code,country,year,safelyManaged,accessOnPremises,availableWhenNeeded,freeFromContamination,piped,nonpiped
USA,United States of America,2015,99,99,99,99,99,0
URY,Uruguay,2000,-,96,97,-,96,2
URY,Uruguay,2015,-,99,100,-,100,0
UZB,Uzbekistan,2000,51,51,-,85,73,18
UZB,Uzbekistan,2015,-,-,-,-,-,-
VUT,Vanuatu,2000,-,45,-,-,50,32
VUT,Vanuatu,2015,-,50,-,-,32,60
VEN,Venezuela (Bolivarian Republic of),2000,-,87,60,-,85,11
VEN,Venezuela (Bolivarian Republic of),2015,-,89,60,-,86,11
VNM,Viet Nam,2000,-,65,-,-,13,67
VNM,Viet Nam,2015,-,88,-,-,40,55
WLF,Wallis and Futuna Islands,2000,-,99,-,-,100,0
WLF,Wallis and Futuna Islands,2015,-,99,-,-,99,0
PSE,West Bank and Gaza Strip,2000,-,81,81,-,84,4
PSE,West Bank and Gaza Strip,2015,-,80,80,-,52,36
ESH,Western Sahara,2000,-,-,-,-,-,-
ESH,Western Sahara,2015,-,-,-,-,-,-
YEM,Yemen,2000,-,31,35,-,43,12
YEM,Yemen,2015,-,49,58,-,42,50
ZMB,Zambia,2000,-,20,-,-,33,20
ZMB,Zambia,2015,-,23,-,-,29,38
ZWE,Zimbabwe,2000,-,39,61,-,42,39
ZWE,Zimbabwe,2015,-,32,57,-,29,47
